K,N,Delta_0 (MHz),sigma/Delta_0,trial,Gate Fidelity
50,2,100,0.1,4,0.6383558890951994
50,2,50,0.1,3,0.5569605449011812
50,4,50,0.05,4,0.5620786156436555
50,2,50,0.05,1,0.5728195425676073
70,4,150,0.05,4,0.4927117393691826
50,2,100,0.02,2,0.7347486487058897
70,6,150,0.05,1,0.4791442966647584
70,4,150,0.05,3,0.6488956527027946
30,4,100,0.1,1,0.6491728111251
30,6,50,0.02,3,0.5515023903760174
50,2,100,0.1,1,0.7077752282182624
30,2,50,0.1,1,0.7035955764393446
100,2,150,0.05,3,0.860388624468073
100,2,150,0.02,4,0.9330563246538727
100,4,50,0.1,3,0.5607444128259226
100,4,100,0.1,2,0.6410777357497884
50,4,50,0.05,2,0.8636093798478586
100,4,50,0.05,3,0.7277666477576772
70,4,50,0.05,2,0.6492731875921659
100,2,50,0.02,2,0.9054300243292698
30,4,100,0.05,4,0.5589010886036326
70,6,100,0.02,2,0.6165303046841457
50,4,150,0.1,3,0.4910866520303655
100,2,100,0.02,1,0.9477756333078249
50,4,100,0.05,2,0.6279242582285981
70,4,150,0.02,1,0.6621497601358621
70,2,100,0.05,4,0.762056869361543
70,6,100,0.1,1,0.5508385593128876
100,6,50,0.1,2,0.5120844394361684
70,4,50,0.05,1,0.5186470326639454
50,6,50,0.02,1,0.5731635785430725
30,2,100,0.1,3,0.6144394276764596
70,6,150,0.05,2,0.6214295482954592
30,4,100,0.1,4,0.5074564096287606
50,2,150,0.02,1,0.771616273822222
50,4,150,0.05,1,0.6605916770103013
70,4,150,0.05,1,0.6710206209276771
30,4,50,0.02,3,0.5492563702738501
100,6,150,0.1,4,0.4816251060263256
50,4,150,0.05,3,0.36027008915771125
70,4,100,0.02,3,0.4831037190355974
70,6,50,0.1,4,0.5350582118318642
30,4,50,0.02,4,0.6615318491272008
70,2,150,0.05,4,0.8162313040161664
30,4,100,0.02,3,0.5891011657379468
50,2,50,0.02,3,0.746934393907978
70,2,50,0.02,4,0.9351212972553181
30,4,100,0.05,2,0.48405053026293854
100,2,150,0.1,1,0.8345886096914937
30,6,150,0.1,4,0.49312411375533677
100,4,100,0.02,2,0.741727799452331
100,4,50,0.05,2,0.7639494651351406
50,6,150,0.02,3,0.7046056269641625
70,2,50,0.02,3,0.8467362877267358
30,4,150,0.1,1,0.559395154767045
100,6,100,0.05,2,0.607321646228812
70,2,150,0.05,3,0.5537731788213098
100,4,150,0.05,2,0.8080705913895314
70,4,50,0.1,1,0.643182948048628
50,2,50,0.02,4,0.6226015943723426
50,4,50,0.02,1,0.4780904095933437
50,6,150,0.1,1,0.5596554866288286
50,2,50,0.1,1,0.47792012526227834
70,4,50,0.1,3,0.5476349896346275
70,6,150,0.02,4,0.6043006093508297
70,4,100,0.02,4,0.7326360798989183
70,6,150,0.05,3,0.5555759847164012
70,4,50,0.05,4,0.744856205609299
30,6,150,0.05,3,0.40698013866676697
100,6,50,0.02,4,0.6613533760956083
50,6,100,0.05,3,0.6460572542847003
100,2,150,0.1,4,0.8037835127731762
30,6,100,0.02,3,0.5164511937032388
30,6,150,0.05,2,0.5020272462112773
70,4,100,0.05,1,0.5301293859783359
100,4,150,0.05,4,0.8481641930418184
30,6,100,0.05,1,0.6842043279459034
30,6,150,0.1,1,0.45311623640651155
70,2,50,0.05,1,0.7560316173174882
30,4,100,0.1,3,0.49045588061222667
30,6,50,0.05,3,0.5523315256729429
70,4,50,0.02,1,0.5426391498149351
50,2,100,0.1,2,0.8585493452292953
70,2,150,0.02,2,0.9097061688031775
50,4,150,0.02,4,0.6355852892724987
70,2,100,0.05,2,0.8039706089132453
70,2,100,0.05,3,0.8402098297986187
70,4,50,0.1,2,0.5520491022829974
100,6,100,0.02,4,0.7707143543008779
50,2,100,0.05,2,0.7990312943680556
100,6,100,0.02,2,0.7435068335868597
70,4,150,0.1,3,0.5036397735568335
70,6,100,0.05,1,0.5559932193413678
50,2,50,0.02,2,0.6775069485054072
50,2,50,0.05,2,0.8274989237547888
70,2,100,0.1,3,0.5926936718946787
30,2,50,0.05,3,0.58653152381467
50,2,100,0.05,3,0.7503044153458924
30,6,100,0.1,4,0.497608646017868
50,6,150,0.02,1,0.6472421853898918
30,4,150,0.1,2,0.5822901708027802
50,4,150,0.1,2,0.5513319191928948
100,2,50,0.02,1,0.8362510517999757
50,2,150,0.1,2,0.4684257632029328
50,2,150,0.1,4,0.7061579596443585
50,2,50,0.1,4,0.5309194538546265
100,6,50,0.1,4,0.512650347654805
70,4,100,0.1,1,0.5275440123329969
30,2,50,0.05,4,0.6222419079895793
30,4,150,0.1,4,0.443417739130865
100,4,150,0.1,1,0.6704839970323438
70,6,100,0.02,3,0.6592228642111615
70,6,150,0.02,1,0.7237655626466076
50,4,50,0.05,3,0.598216653722964
100,2,50,0.05,3,0.8605622476028146
70,4,150,0.1,1,0.554283357956846
30,4,150,0.05,2,0.6275572633156028
100,2,50,0.1,4,0.7861136985984758
70,6,150,0.1,3,0.5212198005298238
100,6,100,0.1,3,0.580104889552655
100,2,50,0.02,3,0.7851658388965933
100,2,100,0.05,1,0.9256890528752588
100,2,50,0.1,2,0.8753127343888462
100,2,150,0.1,2,0.8784443493109073
30,2,150,0.1,2,0.6784120346615798
30,2,100,0.05,3,0.8193654206424139
70,2,50,0.02,2,0.9286981813436764
30,2,150,0.05,1,0.8262275963287705
70,2,50,0.1,1,0.567607902750829
50,2,50,0.05,4,0.6351425667036422
50,2,100,0.02,3,0.7206652576461323
100,6,50,0.05,2,0.6011994265964522
100,6,150,0.05,1,0.6498693990486936
30,2,50,0.1,2,0.5633886336630042
100,4,100,0.02,4,0.8139671358539716
30,6,50,0.1,1,0.46772170369362986
50,6,50,0.1,1,0.5569209719791054
100,6,150,0.05,2,0.6363814027995035
50,2,150,0.02,4,0.8810463064233943
30,4,50,0.02,2,0.6763317936956973
70,6,150,0.02,2,0.48880781790261413
100,4,100,0.05,2,0.7807207123832891
30,4,100,0.05,1,0.5047951257211033
70,2,150,0.1,4,0.9096904494576659
30,2,150,0.05,4,0.5825838793991075
30,4,50,0.1,4,0.5643979237355677
50,4,100,0.1,2,0.5226824107584241
50,6,100,0.05,1,0.46198294408419555
70,6,100,0.02,4,0.6736184110660163
100,2,50,0.1,1,0.7384359684130372
30,4,50,0.05,2,0.5263259193778664
100,4,50,0.05,4,0.7475091927652688
50,4,100,0.02,3,0.4703779478831783
70,6,100,0.05,4,0.6247491039293009
100,6,50,0.1,1,0.5220630156338614
50,2,100,0.05,1,0.8074104703439187
70,4,100,0.02,1,0.7616810405320142
50,6,150,0.1,2,0.5575635943566253
100,4,100,0.05,4,0.6404269172541588
100,2,100,0.02,2,0.9650259391175742
30,2,50,0.05,1,0.6305163507116861
30,4,150,0.02,3,0.4908340343451412
50,6,150,0.05,1,0.510540784140838
100,2,50,0.05,2,0.8249832231376818
30,2,150,0.02,2,0.7047610250745668
100,4,100,0.1,1,0.5374504698268863
50,2,100,0.02,4,0.7204085578850333
100,2,100,0.02,4,0.8246489989042399
100,2,150,0.05,1,0.8637398795556489
100,2,100,0.1,2,0.8591280115361919
100,6,150,0.1,2,0.523307239107793
100,4,50,0.1,4,0.6486971616153254
30,6,50,0.1,3,0.48906498639725704
100,4,150,0.1,4,0.7081150799643697
100,2,150,0.05,2,0.8063864933706141
30,4,150,0.02,1,0.701376194632426
100,2,100,0.1,3,0.7333701349532965
50,2,150,0.02,3,0.7623611156793816
30,2,100,0.1,1,0.5883750747749914
70,6,50,0.02,3,0.6235531968687219
100,6,150,0.1,1,0.46721305881440073
100,4,150,0.05,3,0.5816863813630743
70,6,50,0.02,4,0.6971454082642521
70,2,150,0.1,1,0.7622654486668523
50,4,150,0.05,2,0.6737550039149682
70,4,100,0.1,3,0.5816644865486701
100,2,50,0.02,4,0.8709654897757877
50,4,150,0.02,1,0.5759034933183572
70,2,150,0.05,2,0.7670747641627669
50,4,50,0.02,2,0.518854284403373
30,6,50,0.02,2,0.6937246007846857
70,4,150,0.02,3,0.7898571718823508
50,4,50,0.1,2,0.45010254383432147
30,2,100,0.02,2,0.8086407955776609
70,6,50,0.02,2,0.45822111187066383
50,6,150,0.02,4,0.6232376003112733
30,6,100,0.1,3,0.5242919343921597
30,6,50,0.02,1,0.6427408586108172
100,2,150,0.02,3,0.8486194928972678
70,6,150,0.1,4,0.5597584356988043
50,6,150,0.05,4,0.5666930299353355
70,2,150,0.02,1,0.9041325267798824
100,6,100,0.02,3,0.7253755255677197
30,2,150,0.05,2,0.5926953018348368
70,2,50,0.1,3,0.8030493347811134
30,6,100,0.02,1,0.4881865890644187
70,4,150,0.1,4,0.6569563169404633
30,2,50,0.05,2,0.6656638889025882
30,2,100,0.05,4,0.38662757031881045
30,2,100,0.02,4,0.5531330024344919
70,2,50,0.05,4,0.7927330555477351
100,2,100,0.1,1,0.4971766113899307
50,2,150,0.05,3,0.5240700577352135
100,6,50,0.02,2,0.6516581626901868
30,6,150,0.05,4,0.4788841744432088
50,6,50,0.05,4,0.6196612798849965
100,6,50,0.1,3,0.6624486552754986
70,2,50,0.05,2,0.7796435677536058
50,2,50,0.05,3,0.7544873931186891
70,2,100,0.02,1,0.9190909663927179
100,6,50,0.05,1,0.6121379074358413
50,2,50,0.02,1,0.840417973471996
30,6,50,0.05,4,0.5820830783811403
50,2,150,0.05,2,0.6991865084288973
100,6,100,0.1,4,0.5060256712662794
100,4,150,0.02,3,0.7444337781151769
70,2,50,0.1,2,0.6411151380423227
30,6,150,0.1,2,0.46128220908225737
100,6,100,0.1,2,0.43865911029462507
50,6,150,0.1,4,0.5997449785983706
50,2,150,0.05,4,0.5715717275702463
100,2,50,0.05,1,0.8636216350920372
30,4,150,0.05,1,0.48553314272349646
30,6,50,0.1,4,0.42692821944521653
70,6,50,0.1,3,0.5157052483894677
50,6,50,0.1,4,0.5179465642081672
50,6,100,0.1,3,0.5086612408547533
70,2,100,0.02,2,0.8981587994457796
30,4,50,0.05,4,0.7086068831229179
30,6,100,0.05,2,0.42848175630662605
30,6,150,0.02,4,0.5594764684747527
100,4,50,0.1,2,0.7274271532620215
30,2,100,0.05,1,0.5400906597374344
50,4,50,0.1,4,0.5575683213128366
70,6,150,0.1,2,0.5787693757907839
30,4,50,0.05,1,0.5110000438988257
50,4,100,0.05,3,0.4880201411222935
30,2,100,0.05,2,0.6747862753329741
70,2,150,0.02,4,0.9614682630036813
30,4,150,0.05,4,0.5460269672567518
30,2,100,0.1,2,0.47356137255021985
70,4,100,0.05,2,0.6558874063227913
70,2,150,0.02,3,0.8488085783074826
30,6,150,0.02,2,0.4303052915842864
30,2,50,0.02,3,0.4550460499687909
100,2,150,0.02,2,0.8492612149462979
100,6,150,0.05,3,0.49235087358015517
50,6,50,0.02,3,0.4671806252610171
70,6,50,0.05,3,0.5474615605902967
70,4,150,0.1,2,0.621505129155699
70,6,100,0.1,2,0.5096967067118576
30,2,150,0.02,3,0.7609441317166769
70,6,50,0.05,1,0.6926690047738234
30,6,150,0.1,3,0.4992627454577434
50,6,100,0.1,2,0.5090837664386214
50,6,100,0.02,3,0.4952629382209261
100,4,150,0.02,4,0.860285673624932
100,4,150,0.1,2,0.6079789101144805
50,6,50,0.02,4,0.46560323178505286
30,2,150,0.1,3,0.7388832860201056
100,6,150,0.02,1,0.7154710404168295
70,2,50,0.1,4,0.6667735141281921
30,2,150,0.1,1,0.7291778005351534
70,2,50,0.05,3,0.8596032256567505
50,4,100,0.1,4,0.4709546085999211
50,6,50,0.1,2,0.5125606556297368
100,6,50,0.05,4,0.5023726484958795
70,6,100,0.1,3,0.4506455661922978
30,6,50,0.02,4,0.5404648820452357
50,2,100,0.1,3,0.512263708399254
100,4,50,0.02,3,0.9007915538398761
30,2,150,0.1,4,0.8073806648876418
70,6,150,0.02,3,0.6173601493004796
50,2,50,0.1,2,0.3715005169208682
100,6,100,0.1,1,0.52196761286226
70,4,100,0.02,2,0.4639138577605204
100,6,150,0.02,2,0.5552167762515501
50,4,50,0.1,3,0.45695851576451885
30,4,150,0.1,3,0.6726126230548802
100,2,150,0.1,3,0.7597530293818311
30,4,50,0.1,3,0.5118667896015042
70,2,150,0.05,1,0.8451054960051261
50,6,100,0.02,2,0.5954122984668428
30,4,50,0.02,1,0.7590376000889132
100,6,50,0.05,3,0.6700100142378771
50,6,100,0.1,4,0.5343577433618015
100,4,100,0.02,3,0.8701308403301828
100,4,50,0.02,1,0.9240415835900546
70,4,150,0.02,4,0.7032669085416132
50,2,100,0.05,4,0.7745896148741453
50,6,150,0.1,3,0.4157239267205164
70,2,100,0.1,4,0.6828491682041451
100,6,100,0.05,1,0.615668506980914
50,6,50,0.02,2,0.4146257828398984
100,4,50,0.05,1,0.8223054956055363
70,4,50,0.02,3,0.8065466495928088
30,6,100,0.1,2,0.5064128271161801
50,6,100,0.02,1,0.5644633511732643
50,4,50,0.1,1,0.5694768381228926
30,4,150,0.05,3,0.41285952232874856
30,4,50,0.05,3,0.4964264977757298
30,6,150,0.02,3,0.540363792833963
50,6,50,0.1,3,0.4717636840277917
70,4,100,0.05,4,0.6193207153308414
100,4,100,0.1,4,0.5976654469394854
50,6,100,0.02,4,0.5252766801203468
50,4,50,0.05,1,0.6957915762593261
30,4,100,0.1,2,0.650788676673564
100,2,150,0.05,4,0.8286272792326553
50,4,100,0.05,4,0.6353507461697616
70,6,150,0.05,4,0.45590732813607565
50,4,150,0.02,2,0.5540756385578998
70,6,50,0.05,2,0.601891400634988
100,2,100,0.05,3,0.8217038585792079
70,2,150,0.1,3,0.5815438892625241
50,4,150,0.02,3,0.6960616322448276
100,4,150,0.1,3,0.5827023948282398
30,6,100,0.1,1,0.5317603057806504
70,4,50,0.1,4,0.5784158711812498
100,6,50,0.02,3,0.800985335199349
50,6,100,0.05,4,0.4961536263476532
30,6,100,0.05,4,0.4203606514126756
50,4,100,0.02,1,0.590623753088257
100,2,100,0.05,2,0.866016775575022
50,2,150,0.02,2,0.8774154653461047
50,2,150,0.1,3,0.4808126601644927
70,4,100,0.1,2,0.5039684633419598
30,6,100,0.02,2,0.589891695220203
30,4,50,0.1,1,0.549041327098332
70,6,100,0.05,3,0.6989452739220133
100,6,150,0.02,4,0.7259287475360656
50,4,150,0.1,4,0.5448543334473734
100,6,100,0.05,4,0.5581362638252398
30,6,50,0.1,2,0.4854593452332326
70,4,150,0.05,2,0.6705300206031631
50,6,100,0.05,2,0.49826539865097264
30,6,50,0.05,2,0.49502571009481117
70,2,50,0.02,1,0.8513351091826292
50,6,150,0.05,2,0.5913724333284346
30,4,100,0.02,2,0.5641458838882272
30,4,100,0.05,3,0.5332723851054595
70,4,50,0.02,4,0.5984348274921779
50,4,100,0.05,1,0.708734158091177
30,4,50,0.1,2,0.5222960929417655
70,2,100,0.1,2,0.5466582831853732
30,2,50,0.1,3,0.6483140797891825
30,4,150,0.02,4,0.6155526008926174
30,2,100,0.1,4,0.6347425017876305
50,2,150,0.1,1,0.6254996828164353
100,4,100,0.05,1,0.6178831306404722
50,4,100,0.1,1,0.41773860157949194
100,6,150,0.1,3,0.4801968089244981
50,6,50,0.05,2,0.4982806799274218
100,2,100,0.02,3,0.9336728710852168
70,2,100,0.02,3,0.6236944596495553
70,6,50,0.02,1,0.5429024331858016
50,4,50,0.02,4,0.5372941346013151
100,2,50,0.1,3,0.7362342820613852
50,6,50,0.05,3,0.5474807934174715
30,4,100,0.02,1,0.5267058167674381
70,4,100,0.1,4,0.5149125784302029
100,4,50,0.02,4,0.863955887238421
70,4,150,0.02,2,0.6988439927000702
30,2,150,0.05,3,0.8028775372187451
100,6,100,0.05,3,0.6510332131883485
50,6,100,0.1,1,0.5481892559965144
100,6,50,0.02,1,0.7271299236616193
100,2,100,0.05,4,0.879281897831562
70,2,100,0.05,1,0.7825230680948302
100,4,150,0.02,2,0.5685000584532963
100,4,150,0.05,1,0.7500250272868125
70,4,50,0.02,2,0.5984779545603517
50,6,150,0.05,3,0.462500456012097
70,6,50,0.1,1,0.5056755519667814
70,6,100,0.02,1,0.569052964017284
70,2,150,0.1,2,0.8236568680226548
100,4,50,0.02,2,0.8237727132869638
50,4,100,0.02,2,0.446059581446103
100,2,50,0.05,4,0.9117126844914923
30,6,50,0.05,1,0.5277698722364895
100,6,100,0.02,1,0.5745796399833201
30,2,150,0.02,4,0.5803965672308035
70,6,50,0.05,4,0.6110183596204363
100,6,150,0.05,4,0.5609857162394749
30,2,100,0.02,3,0.6843885216184187
30,2,50,0.02,4,0.7238445615870964
70,6,100,0.1,4,0.5777434633660983
70,4,100,0.05,3,0.6991921799389598
70,6,50,0.1,2,0.43961850125567764
70,2,100,0.1,1,0.44908890412331254
30,2,150,0.02,1,0.6378674612159666
30,6,100,0.05,3,0.6148358056811213
50,4,100,0.02,4,0.40831969158586345
30,4,100,0.02,4,0.5077806440204717
30,2,50,0.02,2,0.855258195420311
70,2,100,0.02,4,0.871141660900721
30,6,150,0.02,1,0.5193186634547224
50,4,50,0.02,3,0.5791790955970275
50,2,150,0.05,1,0.869954956379783
50,4,150,0.05,4,0.600676524488114
70,6,150,0.1,1,0.4958365547806027
70,6,100,0.05,2,0.41057730052224634
30,4,150,0.02,2,0.5150123227748711
100,2,150,0.02,1,0.9106888808557281
30,2,100,0.02,1,0.6740437743332985
50,4,100,0.1,3,0.45811657554783713
50,4,150,0.1,1,0.6004169426666797
100,4,100,0.05,3,0.6940480833439022
100,4,150,0.02,1,0.6532244332250864
50,6,150,0.02,2,0.6242173459211994
50,2,100,0.02,1,0.8764693348142207
30,6,100,0.02,4,0.5132501467821141
100,4,100,0.02,1,0.6415658402267947
30,2,50,0.02,1,0.4689727346485536
100,4,50,0.1,1,0.5332058244076968
100,4,100,0.1,3,0.5284109566309991
50,6,50,0.05,1,0.5330458426441442
70,4,50,0.05,3,0.6327209083168702
30,2,50,0.1,4,0.3547043624309988
30,6,150,0.05,1,0.5212407907973163
100,6,150,0.02,3,0.6206466467112715
100,2,100,0.1,4,0.7711941088957874
